Eviction ID,Address,City,State,Year,Eviction Notice Source Zipcode,File Date,Non Payment,Breach,Nuisance,Illegal Use,Failure to Sign Renewal,Access Denial,Unapproved Subtenant,Owner Move In,Demolition,Capital Improvement,Substantial Rehab,Ellis Act WithDrawal,Condo Conversion,Roommate Same Unit,Other Cause,Late Payments,Lead Remediation,Development,Good Samaritan Ends,Constraints Date,Supervisor District,Neighborhoods - Analysis Boundaries,Location,Reason
M142001,1200 Block Of 6th  Avenue,San Francisco,CA,2014,94122,09/05/2014,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,5,Inner Sunset,"(37.7655885209308, -122.463131183963)",Multiple
M141556,600 Block Of Geary  Street,San Francisco,CA,2014,94102,07/18/2014,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,6,Tenderloin,"(37.7865705542741, -122.413973061522)",Non Payment
M132261,2000 Block Of Pine  Street,San Francisco,CA,2013,94115,11/05/2013,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,5,Pacific Heights,"(37.7884184554792, -122.429523079951)",Nuisance
M152679,600 Block Of Burnett  Avenue,San Francisco,CA,2015,94131,09/29/2015,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,8,Twin Peaks,"(37.7513305525152, -122.444468830184)",Breach
M110038,100 Block Of Alice B Toklas  Place,San Francisco,CA,2011,94109,01/11/2011,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,,,6,Tenderloin,"(37.785278598169, -122.420416785705)",Other Cause
M142718,1000 Block Of Bush  Street,San Francisco,CA,2014,94109,12/17/2014,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,3,Nob Hill,"(37.7893703537131, -122.414539182937)",Multiple
M130596,0 Block Of Dolores  Street,San Francisco,CA,2013,94103,04/08/2013,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,,,8,Mission,"(37.7684229706176, -122.426590385771)",Ellis Act WithDrawal
M142026,400 Block Of Eddy  Street,San Francisco,CA,2014,94109,09/11/2014,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,6,Tenderloin,"(37.7835654759009, -122.415051136713)",Nuisance
M121168,100 Block Of Beacon  Street,San Francisco,CA,2012,94131,07/27/2012,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,,,8,Glen Park,"(37.7387987653579, -122.430990849256)",Unapproved Subtenant
M140817,1200 Block Of Arguello  Boulevard,San Francisco,CA,2014,94122,04/14/2014,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,5,Inner Sunset,"(37.7656873490129, -122.457710074235)",Nuisance
