eviction_id,address,zip,file date,year,reason,latitude,longitude,supervisor_district,neighborhood
M151217,100 Block of Dublin Street,94112,5/15/15,2015,Late Payments,37.71775078,-122.4269217,11,Excelsior
M151216,700 Block of France Avenue,94112,5/15/15,2015,Demolition,37.71721524,-122.4323176,11,Excelsior
M151209,900 Block of GARFIELD Street,94132,5/15/15,2015,Access Denial,37.71969814,-122.4712026,11,Oceanview/Merced/Ingleside
M151208,1700 Block of Haight Street,94117,5/15/15,2015,Access Denial,37.76939812,-122.451277,5,Haight Ashbury
M151218,1400 Block of Clement Street,94118,5/15/15,2015,Demolition,37.78253801,-122.4746771,1,Outer Richmond
M151203,1500 Block of Newhall Street,94124,5/14/15,2015,Breach,37.73475756,-122.3931143,10,Bayview Hunters Point
M151205,2600 Block of 30th Avenue,94116,5/14/15,2015,Nuisance,37.7382472,-122.4875142,4,Sunset/Parkside
M151205,2600 Block of 30th Avenue,94116,5/14/15,2015,Illegal Use,37.7382472,-122.4875142,4,Sunset/Parkside
M151204,2600 Block of 30th Avenue,94116,5/14/15,2015,Breach,37.7382472,-122.4875142,4,Sunset/Parkside
M151186,200 Block of Rome Street,94112,5/14/15,2015,Demolition,37.71528322,-122.4469456,11,Outer Mission
M151184,300 Block of Teddy Avenue,94134,5/14/15,2015,Breach,37.71549906,-122.409648,10,Visitacion Valley
M151201,100 Block of Beacon Street,94131,5/14/15,2015,Unapproved Subtenant,37.73879877,-122.4309908,8,Glen Park
M151185,2100 Block of Stockton Street,94133,5/14/15,2015,Breach,37.80555427,-122.4102856,3,North Beach
M151182,,94109,5/14/15,2015,Breach, QNAN,#VALUE!,,
M151206,2600 Block of 30th Avenue,94116,5/14/15,2015,Breach,37.7382472,-122.4875142,4,Sunset/Parkside
M151207,500 Block of Larkin Street,94102,5/14/15,2015,Nuisance,37.78285368,-122.4173655,6,Tenderloin
M151183,,94109,5/14/15,2015,Breach, QNAN,#VALUE!,,
M151163,600 Block of San Bruno Avenue,94110,5/14/15,2015,Owner Move In,37.76142746,-122.4050896,10,Potrero Hill
M151202,2100 Block of Bay Street,94123,5/14/15,2015,Nuisance,37.80189009,-122.4423803,2,Marina
M151187,100 Block of New Montgomery Street,94105,5/14/15,2015,Other Cause,37.78646001,-122.3991903,6,Financial District/South Beach
M151190,1000 Block of Kansas Street,94107,5/13/15,2015,Ellis Act WithDrawal,37.75643521,-122.4026728,10,Potrero Hill
M151180,300 Block of Turk Street,94102,5/13/15,2015,Breach,37.78274397,-122.4148848,6,Tenderloin
M151188,1000 Block of Kansas Street,94107,5/13/15,2015,Ellis Act WithDrawal,37.75643521,-122.4026728,10,Potrero Hill
M151162,4400 Block of 20th Street,94114,5/13/15,2015,Owner Move In,37.75757849,-122.4374281,8,Castro/Upper Market
M151161,0 Block of Eastman Place,94109,5/13/15,2015,Owner Move In,37.79869189,-122.4199353,3,Russian Hill
M151189,1000 Block of Kansas Street,94107,5/13/15,2015,Ellis Act WithDrawal,37.75643521,-122.4026728,10,Potrero Hill
M151179,0 Block of Le Conte Circle,94124,5/13/15,2015,Breach,37.71776809,-122.3952678,10,Bayview Hunters Point
M151160,1400 Block of 34th Avenue,94122,5/13/15,2015,Owner Move In,37.76006067,-122.4929334,4,Sunset/Parkside
M151178,200 Block of Valencia Street,94103,5/12/15,2015,Nuisance,37.76844274,-122.4222977,8,Mission
M151097,600 Block of 9th Avenue,94118,5/11/15,2015,Owner Move In,37.77615847,-122.4670843,1,Inner Richmond
M151152,700 Block of Edinburgh Street,94112,5/11/15,2015,Illegal Use,37.71737639,-122.4350021,11,Excelsior
